0,1
"('motion', 0.123)","('order', 0.085)"
"('order', 0.065)","('motion', 0.066)"
"('dismiss', 0.018)","('notice', 0.027)"
"('amend_complaint', 0.017)","('dismiss', 0.022)"
"('notice', 0.015)","('request', 0.019)"
"('schedule', 0.015)","('rule', 0.015)"
"('letter', 0.015)","('complaint', 0.013)"
"('memorandum_law_support', 0.014)","('grant', 0.013)"
"('complaint', 0.014)","('letter', 0.012)"
"('stipulation', 0.013)","('discovery', 0.011)"
