0,1
"('motion', 0.064)","('order', 0.065)"
"('order', 0.055)","('motion', 0.051)"
"('notice', 0.023)","('request', 0.019)"
"('letter', 0.014)","('dismiss', 0.016)"
"('minute_entry_proceeding_hold', 0.012)","('notice', 0.016)"
"('request', 0.012)","('conference', 0.013)"
"('grant', 0.011)","('schedule', 0.013)"
"('complaint', 0.01)","('endorsed_letter_address', 0.011)"
"('serve', 0.01)","('counsel', 0.009)"
"('stipulation', 0.009)","('brookfield', 0.009)"
